municipio,n_meses,inicio,fim,total_mvi
BUIQUE,189,2004-09-01,2025-07-01,361
SANTA MARIA DA BOA VISTA,189,2004-09-01,2025-07-01,359
ITAMBE,188,2004-11-01,2025-07-01,413
BARREIROS,188,2005-01-01,2025-07-01,419
LAJEDO,188,2004-12-01,2025-07-01,411
LIMOEIRO,186,2004-08-01,2025-06-01,416
CUPIRA,186,2004-09-01,2025-07-01,363
ALIANCA,183,2004-07-01,2025-07-01,334
SURUBIM,182,2004-10-01,2025-06-01,355
RIO FORMOSO,180,2004-09-01,2025-06-01,323
NAZARE DA MATA,178,2004-09-01,2025-05-01,349
SAO CAETANO,174,2004-10-01,2025-05-01,368
BONITO,174,2005-02-01,2025-07-01,311
ITAPISSUMA,173,2004-08-01,2025-06-01,359
CATENDE,166,2004-12-01,2025-06-01,314
TRINDADE,162,2004-07-01,2025-07-01,276
AGRESTINA,158,2004-11-01,2025-06-01,287
VICENCIA,157,2005-03-01,2025-06-01,293
SAO JOSE DA COROA GRANDE,157,2005-03-01,2025-04-01,318
POMBOS,157,2005-02-01,2025-06-01,255
AMARAJI,156,2004-10-01,2025-07-01,287
GLORIA DO GOITA,156,2005-03-01,2025-07-01,269
IBIMIRIM,155,2005-05-01,2025-04-01,266
